C [0000][0000][0001][0000]
Cm [0000][0000][0111][0000]
C7 [0001][0000][0000][0000]
Cm7 [0000][0000][1111][0000]
D [0000][1110][0000][0000]
Dm [0010][1100][0000][0000]
D7 [0000][1010][0000][0000]
Dm7 [0010][1100][0001][0000]
E [0000][0001][0000][1110]
Em [0000][0001][0010][0100]
E7 [1000][0101][0000][0000]
Em7 [0000][0101][0000][0000]
F [0010][1000][0000][0000]
Fm [1010][0000][0001][0000]
F7 [0010][1000][0100][0000]
Fm7 [1010][0000][0101][0000]
G [0000][0101][0010][0000]
Gm [0001][0100][0010][0000]
G7 [0010][0101][0000][0000]
Gm7 [0011][0100][0000][0000]
A [0100][1000][0000][0000]
Am [0000][1000][0000][0000]
A7 [0100][0000][0000][0000]
Am7 [0000][0000][0011][0100]
H [0000][0011][0100][1000]
Hm [0000][1111][0000][1000]
H7 [0000][1011][0100][0000]
Hm7 [0000][1111][0000][0000]
B [0000][0011][0100][1000]
Bm [0000][1111][0000][1000]
B7 [0000][1011][0100][0000]
Bm7 [0000][1111][0000][0000]
